gene,mean,std
PCLAF,-0.008793837892128778,1.032074845463513
PDCD1,0.0021008354963116677,1.0730911700542496
PDCD1LG2,0.0019094157607018178,1.0478665545555481
PDE4A,-0.013079120009392644,0.9905511800573817
PDGFRA,-0.00409197376416241,1.0582810737547257
PDK4,-0.007475510477582977,1.0722761496105813
PELI1,0.006116386716374469,1.053503882961547
PGR,-0.01857076683342003,1.002560104084782
PIGR,0.004314841671176569,1.0667086419571827
PIM1,0.0040282804830164285,1.0482462986501824
PLD4,0.00465500955572925,1.0593882888671622
PPARG,-0.0061513675446925355,1.0300184487400752
PRDM1,2.768214989421886e-05,1.0498460526761895
PRF1,0.0015440386324740232,1.0620720705291984
PTN,-0.0016951221841497541,1.039506469569849
PTRHD1,-0.0076450334105138355,1.0005985801296282
RAMP2,-0.00965792825246136,1.0508205372610098
RAPGEF3,-0.01248886494269813,1.0027340452369717
RHOH,0.003337707528103816,1.0442811331913047
RORC,-0.01160108998160282,0.9680058048568394
RTKN2,0.005722154496961202,1.0699747924822667
S100A4,-0.0005326210627029953,1.057793503226428
S100A8,0.0008416967663643582,1.1677350051451054
SCD,-0.025814840455267017,1.0836022817126096
SCGB2A1,-0.0004339476581751091,1.0313920817559743
SEC11C,-0.008628537714743893,1.063440778896288
SEC24A,-0.012003138343040412,0.9965984980770711
SELL,0.0347209479371488,1.1464252271056266
SERHL2,-0.005666938731359578,0.9949888017583551
SERPINB9,0.00945075459352891,1.0828905327226237
SFRP1,-0.014396620054199729,1.1454968848115565
SH3YL1,-0.02140110087784172,1.0614355017367814
SLAMF1,0.01608706607489859,1.0971650843874665
SLAMF7,-0.00220714081261876,1.1704012111289035
SLC25A37,-0.0007535576348861975,1.0229765153377504
SLC5A6,-0.0021881475008772777,1.010603174349108
SMAP2,0.01385851046664061,1.0534225523816765
SNAI1,0.0014203659207379423,1.0584267396192302
SOX17,-0.001823587065053162,1.0886659670997665
SOX18,-0.0002464672625304958,1.0389295309309776
SPIB,0.026331596066031512,1.1634673929206525
SQLE,-0.007749741042995947,0.9950256793082607
SRPK1,-0.008439149141159197,1.001077559617414
SSTR2,0.0022047245113183383,1.0589055062491124
STC1,-0.04280575938466721,1.1905325096156836
SVIL,-0.012512539973398733,1.0526127832583267
TAC1,0.0014494209021817318,1.045048631631213
TCEAL7,0.0006664415030549645,1.0286742984624562
TCF4,0.005460778225881653,1.0675227618350658
TCF7,0.0286876891791071,1.159089655345203
TCIM,-0.004268878409988275,1.0855342445934397
TCL1A,0.029283894373064518,1.2704810500865105
TENT5C,-0.005385837680677035,1.1106836943310603
THAP2,0.006260799798617388,1.056020012301503
TIFA,0.009136192340695628,1.0659891023899495
TIGIT,0.011071733225679505,1.1032376699563031
TIMP4,-0.01648410345431025,0.9854973084475075
