gene,mean,std
PRF1,0.001544463819407386,1.062073470182645
PTN,-0.0016947751282524084,1.0395078488967266
PTRHD1,-0.007644349039980163,1.0005998416833088
RAMP2,-0.009657299269533258,1.0508218834857632
RAPGEF3,-0.012513269711169327,1.0026251989947588
RHOH,0.0033387004187486803,1.0442823653146545
RORC,-0.011600662632330193,0.9680070743261052
RTKN2,0.005722849252575235,1.0699761506734435
S100A4,-0.0005316672024127341,1.05779476912191
S100A8,0.0008418399405822636,1.1677365755100457
SCD,-0.025814068260806285,1.0836036398718636
SCGB2A1,-0.00043375891980519747,1.031393465236559
SEC11C,-0.008627431605621055,1.0634419985369268
SEC24A,-0.012002335673038052,0.9965997211448961
SELL,0.03472250407040863,1.14642638014933
SERHL2,-0.005666508578701685,0.9949901080904471
SERPINB9,0.009451880600618811,1.0828917747979987
SFRP1,-0.014396107345364567,1.1454983858926118
SH3YL1,-0.021399897080510134,1.0614366788327847
SLAMF1,0.01608792922217371,1.0971664369357579
SLAMF7,-0.002206244664666852,1.1704026610491107
SLC25A37,-0.0007529374358414607,1.022977824129152
SLC5A6,-0.002187646851846464,1.010604490210344
SMAP2,0.013859796996070437,1.053423680469221
SNAI1,0.0014206553999660473,1.0584281512508338
SOX17,-0.001823278261916696,1.0886674179191482
SOX18,-0.0002461490272940015,1.038930912892288
SPIB,0.02633252004042757,1.1634688246624751
SQLE,-0.007749176678951258,0.9950269608055347
SRPK1,-0.008438341491588376,1.0010787877717562
SSTR2,0.0022049300068915515,1.0589069258154458
STC1,-0.0428048939214735,1.1905339972401738
SVIL,-0.012520352273726934,1.052603445125177
TAC1,0.0014496097359029071,1.0450500335924922
TCEAL7,0.00066669420173353,1.028675673171701
TCF4,0.005461603687209259,1.0675240819988379
TCF7,0.028689017652371494,1.1590909348460345
TCIM,-0.00426842218543314,1.0855356718713842
TCL1A,0.02928488770104625,1.2704826180878062
TENT5C,-0.005384906975155924,1.1106850463878433
THAP2,0.006261453463186676,1.0560213603153585
TIFA,0.00913698390937219,1.0659904298545757
TIGIT,0.011072462292512264,1.1032390672803056
TIMP4,-0.016483680200520705,0.9854986027650544
TMEM147,-0.020773780538845495,1.0092545260953012
TNFRSF17,0.007512393743233777,1.0877825185433492
TOP2A,-0.011126539371270547,1.077467833087105
TPSAB1,-0.0003472205808066155,1.2141491290509085
TRAC,0.025882955147748177,1.224104542906512
TRAF4,-0.005693464871251692,1.0219547405041618
TRIB1,-0.03503881321304785,1.122327328206354
TUBA4A,0.008504500049645047,1.0614725252976491
TUBB2B,0.00380640589218239,1.0499821886360696
UCP1,0.002423227390104414,1.064849953535235
USP53,-0.020513415450039617,1.0263173361307565
VOPP1,0.002255788039559717,1.025996930934992
WARS,-0.010036462241735256,1.000719693230239
ZEB1,0.002953941573413765,1.0586282386368404
ZNF562,-0.0078257500684843,1.003502250140806
